Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Afghanistan,,,,,,4,7,89,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,281,360,352,382,294,236,368,153,287,561,1046,2152,1871,1411,,,,,,,,,,,34,,,35,3,41,150,344,377,661,523,235,288,116,174,252,349,382,227,16391
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,2,,2,,,0,4,,79
Albania,20,10,11,20,22,132,98,42,47,129,57,74,42,12,8,140,74,163,265,297,250,332,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,4,2,5,,2771
Algeria,,,,,,,,,,,,7,61,85,177,331,437,524,57,79,14,14,180,110,13,56,132,1048,1264,1823,1342,1388,1357,701,659,368,146,369,320,455,734,1035,20,20,182,296,83,37,98,370,403,540,248,195,242,159,340,507,1517,1070,835,1125,661,362,620,898,2903,1128,1284,164,549,32139
Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,241,181,105,146,111,153,241,381,574,479,528,703,1187,965,152,141,,,122,111,1,44,7,150,358,147,156,148,48,8,39,7,31,29,20,,,,30,2,47,152,110,272,169,42,8535
Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Argentina,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,146,430,223,248,369,400,241,450,260,489,192,437,441,440,856,412,1316,680,447,226,226,74,14,169,,27,,209,43,28,105,171,275,213,6,14,11,169,3,9,24,23,11,11,15,3,12,7,21,17,47,21,48,7,12088
Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,916
Australia,468,371,410,153,125,637,451,445,534,412,113,40,571,384,548,920,714,778,460,828,240,319,60,704,885,96,81,268,1019,191,404,449,129,631,620,509,815,593,744,694,355,216,364,448,262,64,597,35,542,673,338,1236,663,801,472,461,728,679,444,778,1513,1557,867,245,906,1464,1026,1653,1557,1184,1658,42598
Austria,,,,2,,11,98,146,11,24,16,27,56,201,73,78,61,47,1,12,99,123,93,22,22,6,12,,8,72,195,73,97,145,14,29,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,83,43,57,25,4,269,190,286,7,8,8,6,2,1,13,8,5,15,13,3737
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,53,159,213,33,145,155,557,371,385,624,335,274,290,365,44,29,4203
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,163
Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,7,0,1,,,2,9,8,19,40,59,10,131,55,134,250,137,71,362,68,42,1,8,71,51,198,8,,299,28,54,1,10,66,63,27,21,,103,1,26,72,1,17,26,29,65,15,15,2682
Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,76,44,39,70,62,45,1,55,62,128,109,59,63,4,1,242,301,187,79,113,44,61,119,7,27,1,186,203,281,33,8,32,10,221,88,12,,36,117,184,649,203,633,444,325,151,754,46,6623
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,40
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,96,115,147,142,331,13,1367
Belgium,198,485,972,1098,604,361,682,680,897,179,92,132,188,569,644,507,101,35,216,233,509,489,492,580,111,128,177,180,421,786,574,522,438,583,575,294,98,106,422,218,321,134,49,77,50,17,3,53,55,58,35,29,48,21,15,3,27,174,203,90,32,21,32,46,104,56,4,7,1,9,86,18439
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,2,,,,,4
Benin,,,,,,,,,,,,2,1,,2,,1,,,,0,2,,1,,,,,26,6,,,10,3,1,3,,1,0,0,,,,,,,1,,,,,,7,,,,,3,,1,0,0,20,2,,,,,,,1,93
Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,,,,3
Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,2,1,14,17,1,2,2,12,16,23,17,16,1,11,54,39,30,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,26,767
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,70,2,25,,,,,,,,,,,,,,,,,,1,,1,1,169
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,9,,,,4,,26,40,4,23,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,13,10,,6,9,,,5,,6,8,88,482
Brazil,,615,,133,112,379,55,152,139,129,237,212,62,128,25,150,57,218,236,110,219,181,520,599,256,539,582,554,892,406,368,64,75,91,124,88,138,233,128,746,148,178,90,58,313,248,545,474,240,365,121,631,223,110,85,223,178,188,179,155,310,306,327,223,209,219,109,96,269,168,158,17094
Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,2,1,15,1,0,,45,64,,8,12,85,60,,13,,,,3,3,,,,,17,32,7,5,,4,1,0,0,1,2,,,33,33,229,20,15,121,36,,,,,,917
Bulgaria,156,63,97,349,617,307,305,514,599,165,474,523,494,538,326,372,218,329,250,526,764,395,465,290,299,388,366,490,873,320,562,947,573,727,908,598,918,435,243,334,757,340,41,1,1,1,122,,,7,,,,2,13,132,22,48,116,119,8,29,5,,,3,,,,2,44,19928
Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,0,1,1,1,,,,8,8,9,,,0,9,1,16,9,2,3,,12,,,2,,7,,,,,,0,,,,,,12,3,4,,2,0,15,4,,5,,7,2,23,10,0,177
Burundi,,,,,,,,,,,,,,,,,5,2,,3,,,,0,,,,,,,1,5,3,9,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,1,3,,,,,59
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,4,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,,3,,73
Cambodia,,,,,4,18,36,10,4,2,1,2,5,11,39,40,37,20,15,18,6,22,106,123,23,,,,43,,34,,,13,67,68,134,50,10,119,45,,,2,72,1,28,21,,,,,,,,,14,56,,4,34,,77,67,,,,,5,1,,1506
Cameroon,,,,,,,,,,,,0,,2,0,2,2,3,3,,,8,1,12,,,29,73,,1,,28,114,5,126,16,11,5,1,3,8,,3,,,,4,6,9,4,,7,6,,,5,2,,1,,10,,9,139,122,9,20,8,2,4,,822
Canada,264,294,998,1884,1123,1274,721,764,244,368,171,1576,1231,1045,764,563,306,237,336,516,623,455,382,80,224,195,28,28,172,235,441,452,276,649,646,848,810,787,742,67,160,751,407,198,475,408,427,362,130,198,576,538,436,152,353,118,112,476,420,101,228,336,197,202,316,408,233,331,160,174,207,32406
Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0,,,,,0,,0,1,2,5,1,6,,,1,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,,,,1,,1,47
Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,9,10,8,3,,,10,,,33,9,1,22,21,9,57,,,,,3,1,,,7,7,,16,,,,,17,20,75,35,38,1,4,59,58,1,2,6,3,1,2,558
Chile,1,247,19,10,40,5,90,28,32,20,312,46,19,127,34,57,74,150,62,13,57,198,51,278,297,194,414,58,154,137,149,148,344,140,450,10,173,155,86,140,130,109,173,88,82,333,175,296,88,207,202,60,74,187,70,446,1093,655,392,329,473,326,62,54,141,144,40,50,73,1,293,11863
China,2572,2197,3430,3144,3500,1730,2255,2126,2778,3159,2431,936,307,450,395,218,233,145,182,2,2,2,2,3,3,3,3,75,86,12,7,2,15,27,73,115,17,53,106,201,303,482,1228,1239,327,739,1528,952,403,1752,2522,2816,2871,2333,3287,3558,2847,1639,1809,1368,981,1055,1571,1289,1077,1262,1139,1338,1962,1347,811,80828
Colombia,3,8,15,12,31,13,38,15,298,1,5,62,3,29,9,18,32,15,32,121,4,35,122,159,1,287,10,8,12,36,12,28,18,301,661,7,6,4,37,218,13,72,37,69,42,35,49,190,162,44,60,269,171,145,18,16,51,226,109,249,255,145,207,164,160,193,21,99,16,13,77,6102
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,9
Congo,,,,,,,,,,,1,1,,0,,0,,,1,24,9,27,2,,7,2,2,,35,25,17,3,11,25,25,3,,,28,44,44,,,,,,,27,0,1,0,,,,,4,1,0,,1,27,,23,12,13,2,,,,,,446
Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Costa Rica,,,,,,3,0,,,,,,,1,,,0,,,,,,,2,,3,,,6,2,1,,,,0,2,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,27
Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,19,2,7,17,1,,18,,,22,16,38,55,18,,,9,,,,,2,,,0,,,2,,0,,2,0,,31,61,9,,,,,,,,,,5,5,5,14,9,14,7,398
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,27,53,1,15,35,,,,57,2,24,8,,,19,99,4,11,19,19,,27,11,20,13,2,5,,499
Cuba,,8,0,0,3,13,35,8,23,10,129,542,1321,284,248,130,232,162,155,155,155,162,452,420,408,200,316,609,503,410,347,989,976,770,418,352,281,73,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,11893
Cyprus,,,,,,,,,,,,,,,18,22,,,,,,,,9,,,,,,,,,5,19,23,32,38,33,122,29,70,82,26,10,39,33,170,98,7,113,4,115,1,6,16,20,26,17,,,44,41,6,,,,,30,,19,29,1371
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,6,0,1,13,57,42,94,7,594,45,10,23,6,13,71,22,15,,0,,,7,8,9,1069
Czechoslovakia,90,247,707,1607,1003,1017,573,253,562,840,534,667,547,585,579,698,690,754,868,846,743,1100,956,1058,1087,837,213,300,560,498,468,824,898,806,920,1158,807,662,587,872,277,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29352
Darfur rebels (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,1
Denmark,96,72,361,648,165,172,159,157,97,250,109,335,57,133,482,449,66,72,71,19,312,362,111,,39,149,356,368,362,57,570,567,560,231,72,89,16,99,99,185,124,151,71,46,85,133,71,77,116,68,50,146,45,54,224,116,84,147,93,130,17,,105,38,173,42,102,52,49,45,65,11291
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,33,5,2,3,3,,1,8,1,,,,1,19,5,,2,,,,,1,,3,,4,7,,,,,,,6,5,14,1,10,,,8,,151
Dominican Republic,2,11,43,21,2,6,7,1,17,4,19,11,0,7,5,10,9,1,1,0,1,2,7,0,,2,12,,,,9,5,31,,25,2,0,,3,,,,,,,,4,,6,1,13,5,0,8,35,2,,,,10,50,12,,,,1,0,,,,,426
DR Congo,,,,,,,,,,,2,9,13,32,83,31,26,16,7,28,19,155,15,5,9,379,131,31,38,15,10,12,15,5,16,1,1,36,1,,4,,2,,,0,61,6,10,46,88,15,12,,,19,17,,18,44,151,,10,1,,2,43,,1,,6,1698
East Germany (GDR),29,,178,92,10,,678,1122,1064,490,306,227,791,789,1054,922,1341,1181,1256,833,849,575,974,1028,973,580,1301,1083,1082,909,902,782,1071,925,1106,1361,654,362,598,674,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30552
Ecuador,,,,10,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,81,35,15,22,40,224,570,191,110,257,123,262,403,360,23,25,40,26,20,3,136,4,18,9,36,29,95,27,16,,10,1,,15,47,17,2,102,77,89,68,88,11,53,27,26,20,5,3,23,4192
Egypt,163,57,0,1,142,725,1065,479,488,334,143,544,686,737,843,950,1533,2198,1269,1235,1681,1984,3263,2556,1077,565,159,410,135,630,1001,1176,2489,1693,1500,969,1482,1645,420,295,562,884,970,1254,2017,1715,981,1037,480,514,832,831,716,630,654,797,722,690,333,159,686,630,281,673,420,1436,1690,2395,1677,1046,1311,67745
ELF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
El Salvador,0,,,,1,,,17,,,,,,0,,1,1,0,20,8,9,1,,1,29,46,15,8,1,8,12,5,38,12,62,44,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,,,,2,,20,,1,,,6,,442
EPLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,57,65,2,92,,,,7,,,395
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,7,41,53,214,31,20,57,18,17,80,98,,4,,,,,,,,,,,,,,678
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,12,4,1,27,,1,13,8,20,7,19,29,43,13,1,2,18,2,18,29,33,17,54,15,424
eSwatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,10
Ethiopia,2,19,,6,8,1,1,16,23,6,24,4,21,27,4,14,99,31,34,24,89,54,33,5,16,58,135,1107,965,113,330,328,516,353,273,247,348,239,155,47,2,80,,,,,,69,211,155,140,,20,174,239,,,,,,54,76,193,153,33,10,5,1,12,74,,7476
FAN (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,,,1,,,7,42
Finland,,,19,,,11,15,3,25,41,54,65,38,237,77,81,42,76,23,21,15,5,26,13,172,127,90,30,105,47,328,119,132,112,126,203,97,69,143,85,90,65,442,407,248,197,553,398,562,770,474,9,17,242,67,92,131,141,135,42,52,58,77,296,198,293,160,76,130,66,45,9401
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
France,218,988,1180,1739,1659,1578,1446,738,1136,802,507,325,122,162,1300,378,106,93,113,39,34,47,28,51,46,45,196,204,241,107,70,101,137,103,68,15,96,84,137,107,60,945,420,91,75,100,66,226,174,110,104,66,43,57,93,2,67,74,5,76,106,48,90,107,17,42,45,76,183,99,145,20353
FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Gabon,,,,,,,,,,,,3,,,3,0,2,,2,4,1,24,,2,10,35,48,28,77,,26,37,5,11,98,2,7,10,28,10,29,,,,,,,,,,,,,,6,,20,18,,,22,5,1,2,,5,3,,,25,,606
Gambia,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,16,,,,,,,,,,,,36
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,37,92,97,161,132,38,,2,,5,1,,,7,43,6,,772
Germany,,,,,,85,1356,2270,2791,1529,2033,2018,2457,3283,3710,3323,3211,1336,1198,1256,1475,2373,838,1742,2132,1835,1387,1042,691,65,150,261,453,434,412,130,310,320,429,707,716,695,685,535,423,228,246,60,543,129,113,133,71,64,238,199,409,75,285,339,282,84,131,113,95,96,55,43,14,33,33,56204
Ghana,,,,,,,,,,1,12,107,20,6,40,40,24,1,,,,,12,8,19,28,39,,18,7,38,50,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,35,0,0,16,,11,2,76,39,63,14,13,22,,0,4,,842
Greece,97,500,307,85,152,203,92,354,475,314,264,82,330,98,631,488,213,376,107,305,304,588,695,246,418,922,1308,1001,1290,740,675,968,462,401,366,189,202,36,525,1216,903,484,2126,898,1216,871,380,807,1719,842,708,788,403,2170,1106,411,721,1703,483,1224,630,70,18,28,204,749,323,51,38,93,85,40278
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guatemala,,6,,,2,8,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,0,15,47,15,1,1,5,8,48,16,1,7,25,2,0,0,4,0,0,,13,4,4,2,,1,,,,,,,,,,0,,,,2,,,33,,,4,14,,403
Guinea,,,,,,,,,,18,33,0,,0,0,17,,6,,0,1,4,4,18,24,2,18,8,45,69,,1,1,1,,,39,,,40,1,1,,,,,,,4,,18,6,,2,,1,,0,,,4,1,4,,6,,,2,,,,399
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,10,12,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,181
GUNT (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Guyana,,,,,,,,,,,,,,,,,,,0,,,2,,,2,0,15,5,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,2,,,,,,0,,,,,,,,,,0,2,,93
Haiti,4,,3,,,,6,1,,,6,,,,1,,,,,8,,,,3,4,1,1,0,9,,,3,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Hamas (Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,0,,,,,,,3
Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,9,,,20,20,,,,,,,,,,,65
Honduras,,1,2,,1,,9,1,20,1,,,14,,,1,6,,,19,,,,2,,31,30,25,29,9,13,27,30,33,25,36,76,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,20,13,8,,10,1,23,0,589
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,20
Hungary,56,53,13,802,699,222,1,59,259,331,599,575,292,379,747,667,150,290,271,447,22,237,121,393,554,495,378,394,586,485,384,143,142,117,251,229,79,80,35,59,14,22,,935,2,1,156,99,46,72,14,14,,,72,13,253,196,5,4,18,9,,2,7,,14,6,27,16,67,14173
Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,123
India,141,277,104,430,265,350,366,980,954,855,544,1122,371,647,920,1049,994,1265,1655,1518,872,1870,1807,1325,1285,1089,1915,2372,1184,1183,1751,2106,2257,2637,2769,2981,4133,3835,3762,3580,2721,1884,1185,737,884,1479,844,1666,753,1211,983,1193,2022,2741,2213,1198,1484,2275,1858,1863,2911,3598,4392,5381,3347,3117,3003,2909,1485,3075,2799,126727
Indonesia,195,58,14,6,16,25,42,30,624,675,441,895,1068,180,518,330,16,1,0,9,27,92,5,73,73,4,156,60,126,376,910,796,360,228,100,289,432,264,291,248,202,11,52,214,471,285,379,105,88,164,150,26,68,358,79,37,65,580,243,442,225,249,212,801,1177,438,377,1171,329,217,270,19538
Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Iran,4,6,0,1,75,110,121,53,129,107,11,107,110,137,141,171,407,330,763,1305,1237,1768,1449,2060,2854,5168,4459,5566,3743,536,278,487,541,509,474,548,803,833,478,193,454,1025,432,987,448,292,613,176,379,321,416,522,433,280,119,55,421,329,60,95,97,98,44,13,13,13,413,4,4,3,2,46629
Iraq,,,59,53,19,61,105,38,186,170,168,118,278,201,321,248,341,345,368,405,154,187,624,1846,1425,1103,1136,1050,1782,1359,2241,2604,3286,3365,4526,3954,3376,3459,1897,1493,819,,,,,,,,,,,,,,71,186,312,275,379,399,436,574,476,353,665,1464,1789,1004,543,175,1,54271
Ireland,2,,,4,,,8,,1,,1,,,2,1,,,,,,7,9,22,3,1,4,3,5,28,31,48,15,,,11,,38,,24,,,11,,,41,,,,3,35,0,45,22,,20,5,13,19,22,0,5,2,2,,40,43,43,2,7,36,11,693
Israel,53,92,73,112,49,117,641,133,143,223,163,84,261,396,417,437,319,282,961,1382,1131,1350,898,1980,1180,1643,1942,1263,1336,707,1269,1654,866,487,286,309,1185,1080,582,24,81,1208,1303,716,755,362,116,67,1291,1191,353,116,348,190,845,1133,1122,832,676,155,68,85,120,209,541,681,605,536,543,546,474,44779
Italy,158,232,883,1309,308,587,983,773,417,403,390,426,876,1207,1115,722,406,106,195,607,681,1090,1752,1005,1111,1018,714,521,694,607,481,135,253,307,273,208,200,183,179,196,158,206,187,208,201,334,286,519,56,25,241,221,239,564,451,162,423,515,214,101,102,286,207,81,141,253,760,735,317,183,131,32219
Jamaica,,,,,,,,,,,,,1,1,0,,,3,,,,1,,13,8,4,1,3,4,,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,19,3,15,166
Japan,,,8,223,314,408,757,1059,1239,668,859,338,221,204,1718,1162,324,605,552,529,651,777,677,636,1004,1676,1665,966,1086,995,1067,1347,1461,1706,2062,1981,1903,1949,2006,2296,2698,2948,2520,2135,1022,1244,859,831,1477,1270,497,435,446,483,404,398,481,517,693,622,403,268,205,252,307,329,330,441,654,899,724,65890
Jordan,0,,0,0,27,34,62,,44,4,30,15,55,39,33,55,92,126,48,238,130,68,66,87,184,372,337,464,593,279,386,404,1064,789,480,294,250,143,247,59,16,24,,1,5,19,75,77,248,63,133,160,132,281,169,49,53,181,161,235,90,215,176,75,197,233,232,389,238,224,148,11897
Katanga,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,20,,47,42,44,82,25,39,58,62,94,141,95,444,248,214,310,312,268,3043
Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0,20,9,2,28,25,17,58,211,56,119,144,91,20,12,6,26,176,,23,42,14,,,30,,,58,,,12,,,,,,,10,,34,116,14,62,1,17,30,29,16,5,16,60,1654
Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2
Kuwait,,,,0,5,1,,,2,,44,,10,34,46,25,8,,104,97,54,111,30,,5,77,230,490,487,198,35,13,175,291,494,621,170,50,6,132,325,516,896,694,35,632,1189,478,46,212,245,67,23,43,2,12,5,288,5,9,85,113,31,73,692,339,164,111,95,51,67,11587
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,2,,,,,,,,,4,9,13,1,15,,61
Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,6,32,17,14,43,1,37,21,134,26,,35,54,2,94,26,59,,29,18,,8,,,,,,,44,21,30,7,,,0,,4,,,7,26,,14,19,19,,7,,2,115,27,17,1116
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,12,14,0,0,0,4,3,13,3,25,12,4,9,51,46,11,15,27,9,5,5,3,26,25,19,25,5,380
Lebanon,5,,2,5,7,8,,39,65,11,,3,13,18,,34,72,80,1,,,7,49,41,28,11,3,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,7,4,4,,,,,1,,5,1,52,64,1,31,24,6,48,28,50,52,74,39,1635
Lebanon Palestinian rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,,,1,,0,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,,,1,1,1,,48
LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,52,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
Liberia,,,,,,,,,,1,,,,,2,,,18,,,,0,1,,,,2,,1,,,,,,,,5,7,,12,3,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,0,61
